School,ALL,BB,Difference
1,79,93,-14
2,88,91,-3
3,88,100,-12
4,71,73,-2
5,74,57,17
6,98,100,-2
7,98,100,-2
8,71,77,-6
9,69,53,16
10,97,88,9
11,67,58,9
12,87,67,20
13,90,92,-2
14,80,75,5
15,87,63,24
16,87,100,-13
17,82,78,4
18,91,70,21
19,84,85,-1
20,92,88,4
21,90,70,20
22,83,80,3
23,60,42,18
24,60,39,21
25,81,91,-10
26,90,55,35
27,85,82,3
28,78,54,24
29,79,92,-13
30,78,80,-2
31,83,92,-9
32,78,80,-2
33,79,55,24
34,79,36,43
35,86,83,3
36,85,20,65
37,95,100,-5
38,78,62,16
39,89,100,-11
40,84,100,-16
41,81,90,-9
42,85,91,-6
43,89,93,-4
44,89,89,0
45,85,90,-5
46,85,80,5
47,81,46,35
48,80,75,5
49,98,100,-2
50,84,71,13
51,80,50,30
52,82,62,20
53,81,82,-1
54,70,50,20
55,85,100,-15
56,87,83,4
57,83,90,-7
58,86,64,22
59,92,91,1
60,85,67,18
61,93,83,10
62,94,100,-6
63,76,83,-7
64,69,100,-31
65,82,83,-1
66,80,63,17
67,94,91,3
68,98,95,3
